A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
0.95,0.439941406,-0.280761719,-0.8515625,-2.560975552,0.548780501,0,0.95,-0.399902344,0.338378906,-0.8515625,0.426829278,1.402438998,-0.304878056,180
1,0.438476563,-0.286621094,-0.861816406,-0.609756112,0.975609779,1.524390221,1,-0.39453125,0.330566406,-0.8515625,1.402438998,1.585365891,-0.182926834,180
1.05,0.443359375,-0.28515625,-0.858398438,-1.524390221,0.914634168,1.036585331,1.05,-0.393554688,0.338867188,-0.851074219,2.560975552,2.134146452,1.219512224,180
1.1,0.457519531,-0.283203125,-0.849609375,-2.743902445,-0.243902445,0.548780501,1.1,-0.397460938,0.337402344,-0.853515625,2.317073107,3.170731783,0.304878056,180
1.15,0.435546875,-0.270507813,-0.846191406,0.365853667,-0.792682946,0.48780489,1.15,-0.395507813,0.326660156,-0.836914063,1.524390221,0.731707335,0,180
1.2,0.443359375,-0.288085938,-0.844238281,-3.048780441,-0.121951222,-0.060975611,1.2,-0.39453125,0.322265625,-0.857421875,-0.365853667,2.134146452,-0.365853667,180
1.25,0.44140625,-0.277832031,-0.849121094,0.670731723,0.975609779,1.890243888,1.25,-0.388671875,0.329589844,-0.856445313,-1.524390221,2.01219511,0.670731723,180
1.3,0.450195313,-0.280761719,-0.850585938,-2.682926893,0.365853667,-0.548780501,1.3,-0.383789063,0.336914063,-0.841796875,-0.365853667,0.548780501,-0.792682946,180
1.35,0.44140625,-0.294921875,-0.8515625,-1.585365891,0.304878056,0.792682946,1.35,-0.396972656,0.331542969,-0.860839844,-0.060975611,0.304878056,-0.060975611,180
1.4,0.439453125,-0.291992188,-0.852539063,1.890243888,1.646341443,2.804877996,1.4,-0.392089844,0.330078125,-0.858398438,-0.975609779,0.731707335,1.097561002,180
1.45,0.445800781,-0.294433594,-0.854003906,-1.341463447,1.219512224,1.707317114,1.45,-0.37890625,0.347167969,-0.849609375,-4.146341324,3.048780441,1.524390221,180
1.5,0.442382813,-0.286621094,-0.854492188,-0.243902445,0.426829278,2.682926893,1.5,-0.387207031,0.338378906,-0.854492188,5.060975552,-1.524390221,1.463414669,180
1.55,0.434082031,-0.284667969,-0.851074219,0.365853667,0.48780489,2.256097555,1.55,-0.394042969,0.326660156,-0.857421875,0.060975611,0.060975611,1.463414669,180
1.6,0.432617188,-0.2734375,-0.849609375,0.914634168,1.158536553,2.560975552,1.6,-0.3828125,0.321777344,-0.851074219,-3.902439117,2.378048897,2.134146452,180
1.65,0.44140625,-0.26953125,-0.847167969,-2.804877996,-1.158536553,1.036585331,1.65,-0.387207031,0.336914063,-0.824707031,-0.975609779,1.646341443,1.524390221,180
1.7,0.463867188,-0.244628906,-0.848144531,0.792682946,-2.378048897,-1.524390221,1.7,-0.398925781,0.338867188,-0.881347656,7.926829338,0.182926834,0.121951222,180
1.75,0.423339844,-0.269042969,-0.877441406,-5.48780489,-2.256097555,-4.451219559,1.75,-0.396972656,0.301757813,-0.762207031,17.98780441,-18.4146347,2.378048897,180
1.8,0.426269531,-0.273925781,-0.862304688,1.768292665,0.060975611,-2.073170662,1.8,-0.409667969,0.263183594,-0.903808594,-2.439024448,2.621951103,-6.951219559,180
1.85,0.4453125,-0.272460938,-0.858398438,-3.475609779,-0.975609779,-3.963414669,1.85,-0.393066406,0.332519531,-0.836914063,-8.597560883,3.841463327,-2.073170662,180
1.9,0.444335938,-0.282714844,-0.850097656,0.548780501,-1.707317114,-3.658536673,1.9,-0.411132813,0.325195313,-0.846679688,0,-0.426829278,-6.036585331,180
